country_name,country_code,counterpart_area,Y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Afghanistan,AFG,World,0,0,0,0,140.79,172.51,211.29,257.46,276.79,281.41,297.3,269.17,279.95,293.42,305.79,318.1,320.42,0,0,0,
Albania,ALB,World,86.54,67.71,72.02,72.88,55.53,51.46,46.74,38.15,35.21,32.07,31.31,37.16,36.51,36.62,40.35,40.54,45.95,50.94,50.49,56.78,
Algeria,DZA,World,194.28,331.24,1325.71,1804.56,2300.18,2014.31,2246.19,3024.94,3473.68,3717.64,3258.37,3102.89,2098.73,1710.49,1404.92,1152.46,944.06,624.15,866,952.92,
Angola,AGO,World,14.08,26.12,82.27,93.76,114.58,67.39,73.44,79.34,88.91,74.31,60.39,50.07,42.4,31.03,26.17,27.67,22.79,23.56,24.38,26.59,
Argentina,ARG,World,11.7,21.47,26.93,38.17,35.74,35.92,41.24,32.44,30.92,20.32,20.08,13.58,20.04,23.38,22.32,14.99,14.31,14.87,16.79,8.67,
Armenia,ARM,World,25.99,33.99,50.12,53.83,38.94,40.6,29.58,26.08,23.55,25.94,17.41,20.1,22.36,22.62,21.06,23.98,20.02,23.01,25.81,22.78,
Azerbaijan,AZE,World,49.03,51.88,88.65,108.89,143,117.12,87.97,133.04,103.87,141.68,126.56,57.44,49.74,45.51,40.38,42.74,47.18,52.98,74.22,94.61,
Bangladesh,BGD,World,16.35,15.27,19.23,24.52,24.79,40.76,42.07,33.99,43.73,55.75,63.25,71.03,77.65,65.45,56.05,52.33,58.69,50.45,34.78,21.55,
Belarus,BLR,World,16.29,21.44,16.28,33.39,20.2,25.6,17.71,23.33,23.98,16.81,12.64,10.91,13.13,18.48,18.46,23.06,17.87,20.23,19.88,22.12,
Belize,BLZ,World,5,6.97,10.79,10.09,13.02,16.55,16.72,18.6,24.15,32.25,37.85,34.16,29.2,23.31,21.83,20.15,22.79,28.94,32.84,31.37,
Benin,BEN,World,31.83,34.88,72.69,80.71,74.22,61.03,52.54,41.56,27.21,22.36,18.87,20.58,6.72,15.42,14.11,0,0,0,0,0,
Bhutan,BTN,World,66.29,71.19,75.62,87.25,110.35,113.27,107.22,73.76,65.86,60.89,64.14,52.26,47.17,44.54,37.23,44.17,44.08,32.18,26.13,20.02,
Bolivia,BOL,World,20.24,25.81,51.03,105.01,135.45,148.46,168.44,194.43,210.46,177.24,170.23,131.94,91.7,78.99,67.52,45.22,34.21,29.66,23.81,11.08,
Bosnia and Herzegovina,BIH,World,43.46,36.02,42.24,43.28,33.98,32.5,30.73,34.25,33.62,36.01,37,41.1,44.04,49.56,52.45,56.35,61.88,68.53,65.46,65.7,
Botswana,BWA,World,1097.61,1369.93,2191.31,2302.44,2033.1,529.66,436.39,337.42,303,324.9,334.2,339.46,338.9,432.44,375.26,394.48,308.23,240.39,213.66,228.78,
Brazil,BRA,World,23.99,28.56,44.18,75.63,73.69,84.69,81.9,87.12,84.71,74.17,65.28,65.6,67.19,68.87,67.18,62.75,64.74,63.37,56.03,58.48,
Burkina Faso,BFA,World,33.93,21.79,48.5,52.25,34.68,34.81,22.22,16.01,13.77,7.03,2.88,2.06,10.24,12.11,15.75,0,0,0,0,0,
Burundi,BDI,World,4.87,7.81,9.56,12.57,19.17,53.21,53.49,48.83,46.51,48.43,45.89,21.72,15.76,16.01,11.47,17.71,13.58,27.27,16.59,8.66,
Cabo Verde,CPV,World,30.02,36.52,48.56,62.78,57.73,54.91,43.19,32.51,23.38,24.15,27.58,26.86,31.17,29.19,28.98,34.36,30.32,31.35,29.06,32.83,
Cambodia,KHM,World,38.69,39.48,46.51,95.32,99.71,99.54,94.81,87.41,70.48,65.56,73.38,78.15,90.65,106.7,107.97,122.13,121.25,101.06,79.22,88.74,
Cameroon,CMR,World,7.76,12.53,50.76,95.02,109.01,113.54,114.89,104.85,88.25,67.75,55.58,48.84,28.64,32.19,31.78,29.13,27.29,28.31,34.33,31.91,
